,idx,basic_situation,dilemma_situation
638,21961,engaging in nerdy behavior if you think it is fun.,"You are a member of an online role-playing community that often hosts virtual events. During one of these events, a player breaks the rules but it leads to a more enjoyable gaming experience for everyone involved. Should you report the player's rule-breaking behavior despite the fun it created?"
639,21976,old people having different methods to raising children than their children do.,"The grandparents believe in strict discipline and traditional methods, while the parents want to follow a more liberal and modern approach to raising their children. This causes a conflict when the grandparents reprimand the children in a harsh way that the parents feel is outdated and potentially harmful. Should the parents confront their elders about their methods, potentially causing friction in the family, or should they silently endure, risking the emotional wellbeing of their children?"
640,21987,always responding to people online when you have nothing nice to say.,"You are an online community moderator who prides themselves on always responding to users. One user has been consistently disrespectful and rude, and you feel the urge to respond harshly. Should you maintain your professional ethics and respond calmly, or let your emotions guide you and respond harshly?"
641,22043,using your loved ones' vulnerabilities against them.,"As a lawyer, you are defending your brother in a legal dispute. In the court, you find out that your brother's opponent is your childhood friend who has a weak heart and can't handle intense stress, but you need to pressurize him to win the case. Should you exploit your friend's health issue to secure a win for your brother?"
642,22052,judging fat people.,"As a personal trainer, you're committed to promoting health and fitness in your clients. However, a new client is visibly overweight and seems content with their body image, making you uncomfortable due to your beliefs about health. Should you respect the client's body positivity or should you encourage them to lose weight for the sake of their health?"
643,22065,watching your drink so you don't spill it.,You are at a party where everyone is drinking. You see a person who is already drunk and is about to spill their drink on a person who doesn't drink due to religious reasons. Should you intervene and prevent the spill or respect the drunken person's autonomy and risk a potential conflict?
644,22066,wanting to entertain themselves.,A group of friends decide to entertain themselves by watching a movie online. One of them suggests using an illegal streaming site to avoid paying. Should they use the illegal site to watch the movie for free or pay for it on a legal platform?
645,22090,people wanting to improve their traits.,"In a future where genetic engineering becomes advanced and accessible, people can modify their traits for self-improvement. However, this raises ethical questions about fairness, as not everyone can afford this technology, creating a potential divide in society. Should individuals be allowed to genetically modify themselves even if it creates socio-economic disparities?"
646,22126,copying other people's drawings.,"You're a struggling artist trying to make your mark in the industry. You come across another artist's work that is unnoticed but has the potential to go viral, and you contemplate copying it to gain visibility. Do you copy the art to gain fame or respect the original artist's creativity?"
647,22166,paying child support when you are a husband.,"As a husband and father, John has been dutifully paying child support for his three children. However, he recently lost his job and is struggling to make ends meet. Should he continue to pay child support as per the legal agreement, potentially risking his own financial stability, or should he seek a modification to the child support order?"
648,22184,diminishing the talent of someone's artist endeavors.,"As a well-known art critic, you have an influential voice in the art community. You are reviewing a work of art by a beginner artist whose work you personally find lacking in talent and creativity. Should you be brutally honest in your review potentially discouraging the artist and negatively influencing their future works, or should you hold back and provide a more constructive review to encourage their growth?"
649,22189,ditching someone else.,"John is the leader of a mountain climbing expedition that has been hit by a severe snowstorm. One of the members, Mike, is injured and slowing down the whole group, putting everyone at risk of freezing to death. Should John leave Mike behind to increase the group's chances of survival?"
650,22194,Holding off exercise if you are injured,"You've been training for a marathon for several months. However, you've recently sustained a minor injury that might worsen with continued training, but resting could mean missing the marathon. Should you continue training and risk your health or should you prioritize your well-being and potentially miss the marathon?"
651,22266,getting IVF treatment when you can't have a baby,"In vitro fertilization (IVF) is a common treatment for couples struggling with infertility. However, the process often results in multiple embryos, leading to the dilemma of what to do with the unused ones. Should the couple donate the unused embryos to other infertile couples or to scientific research, or should they discard them?"
652,22314,feeling lost.,"After a series of unfortunate events, John found himself homeless and without any form of income. He stumbled upon a wallet full of cash on the street, which could greatly aid him in his current predicament. Should he keep the money to help himself survive or try to return it to its rightful owner?"
653,22356,excluding loved ones from your activities.,"You are planning a charity event and want to make it purely professional. Your spouse, who is also your best friend, is hurt that you didn't involve them, even though they have relevant skills and could be an asset. Do you keep the event professional and exclude your spouse or do you involve them and blur the professional lines?"
654,22467,Drinking alcohol,"John is a recovering alcoholic and has been sober for two years. His best friend is getting married and wants to toast with champagne, putting John in a difficult position. Should John join in the toast and risk his sobriety or decline and potentially offend his friend?"
655,22679,not inviting your parent's significant other to a party.,"You've always had a strained relationship with your parent's new partner, and you're about to throw a party for your parent's birthday. You're torn between respecting your parent's happiness and maintaining your comfort during the party. Should you put your feelings aside and invite the partner, or risk hurting your parent's feelings by not inviting them?"
656,22707,giving up your religion because someone asks you to.,You've been dating someone for a few years who doesn't share your religious beliefs. They ask you to abandon your faith so that you can get married and start a family together. Should you give up your religion for the sake of your relationship?
657,22767,spending a lot of your time doing something you love,"You're a talented musician who loves creating music. However, you're also a parent and your constant involvement in music takes away time from your children. Do you choose to pursue your passion at the expense of spending quality time with your children?"
658,22770,letting relationships ruin one's life.,"Sophie is in a toxic relationship with Greg who is a drug addict. She loves him but his addiction is ruining her life, career, and overall mental health. Should Sophie leave Greg despite her love for him, potentially leaving him to spiral further, or should she stay, sacrificing her own well-being for his?"
659,22814,telling someone the sex of their baby when they don't want to know before the birth.,"A medical professional is performing an ultrasound on a pregnant patient who expressed not wanting to know the baby's sex. During the scan, the professional accidentally slips and reveals the baby's sex. Should the professional apologize and confirm the sex, or pretend it was a mistake and leave the patient in ambiguity?"
660,22819,re-watching a show that you enjoy.,"You have finished your workload for the day and decided to re-watch your favorite show. However, you remember promising your partner to spend quality time with them after work. Should you fulfill your promise to your partner or indulge in your favorite show?"
661,22833,assuming your partner doesn't have mental health problems.,"You and your partner have been together for several years, enjoying a healthy relationship. Recently, your partner has been acting extremely different, showing signs of depression and anxiety, but insists they are fine and do not need help. Should you respect their autonomy and let them handle it on their own or seek professional help for them despite their objections?"
662,22849,celebraing Christmas.,"During Christmas, a family tradition involves giving expensive gifts to each other. But this year, a family member has lost his job and cannot afford to buy expensive gifts, which might disappoint others. Should he borrow money to keep up the tradition or break the tradition to live within his means?"
663,22966,making a gift exchange budget unnecessarily high.,"Every year, your extended family holds a Christmas gift exchange with a budget traditionally set at $20. This year, your cousin who recently came into a large amount of money, insists on raising the budget to $200. Should you agree to the increased budget even though it might put financial strain on some family members or voice your objection risking the chance of appearing ungrateful or jealous?"
664,23023,getting divorced if your marriage is rocky,"You have been in a rocky marriage for years, and you're contemplating getting a divorce. You have a young child who you know will be greatly affected by the divorce, and it's causing you emotional turmoil. Should you stay in the unhappy marriage for the sake of your child's well-being or proceed with the divorce to seek your own happiness?"
665,23052,making fun of men who get abused by women.,"A group of friends are discussing domestic violence and one of them starts making fun of men who get abused by women. This person argues that it's not possible for a man to be abused by a woman and everyone else laughs about it. Should the other friends speak up and correct the misconception, risking conflict and tension in their friendship, or remain silent to maintain harmony?"
666,23089,telling your friends about who you are dating.,"You've recently started dating a close friend's ex-partner. You feel guilty and uncertain about revealing this to your friend, fearing it may ruin your friendship. Do you disclose your new relationship or keep it a secret from your friend?"
667,23103,returning someone's lost pet if you find it,"You find a lost dog with a collar and contact information. The dog is malnourished and appears to have been neglected, but the owner insists it's just been missing for a few days. Should you return the dog to the owner despite your concerns?"
668,23104,indulging your cravings while pregnant.,"During pregnancy, it is common for women to have cravings, but it's crucial to consider the potential impact on the baby's health. A pregnant woman is craving for a cigarette, a harmful substance for the unborn child, creating a dilemma between satisfying her craving and the health of her baby. Should she satisfy her craving at the risk of potentially harming her unborn child?"
669,23128,making time to go to family events.,"John is a successful lawyer who often works late into the night. He is invited to his son's school play but he also has a high-profile case that needs his attention. Should he attend his son's play, risking his case preparation, or continue to work, missing the family event?"
670,23200,being bothered by the smell of burning incense.,"You are a tenant sharing an apartment with a roommate who regularly burns incense as part of her spiritual practices. Though you respect her beliefs, the smell of the incense bothers you and often gives you headaches. Should you ask her to stop burning the incense, potentially infringing on her freedom of religious expression, or suffer in silence and compromise your health?"
671,23313,not giving up,"A talented young athlete is suffering from a potentially career-ending injury. The doctor believes that a risky experimental treatment could potentially save his career, but it could also result in severe health complications. Should the doctor recommend the risky treatment to the athlete, possibly jeopardizing his health, or suggest he retire from the sport, potentially ending his dreams?"
672,23322,ruining family relationships.,"Your sister has been stealing money from your parents' savings without their knowledge. You discover this by accident and find out she's using the money to fund her drug addiction. Do you confront your sister and risk causing a family feud, or report the situation to your parents and potentially worsen her addiction?"
673,23323,being afraid of who you are.,"John is a gay man living in a conservative, religious community where homosexuality is not accepted. He has been hiding his true identity because he fears the backlash and rejection from his friends and family. Should he continue living a lie to maintain peace in his community, or be honest with his identity and risk being ostracized?"
674,23404,buying gifts for your nephews all their life.,"You have always bought gifts for your nephews on every occasion, from birthdays to holidays. Recently, you've noticed that they've become entitled and ungrateful, expecting expensive gifts and not appreciating what they receive. Should you continue buying them gifts to maintain the tradition or stop doing so to teach them a lesson about gratitude and entitlement?"
675,23415,being polite to salespeople.,"You're shopping at a clothing store and a salesperson is assisting you. The salesperson is overly persistent, continually suggesting items that are far beyond your budget and making you feel uncomfortable. Should you remain polite and endure their sales tactics or confront them about their aggressive behavior?"
676,23440,wanting to be successful doing something you enjoy.,"You are a talented painter who has been offered an opportunity to showcase your art in a prestigious gallery. The gallery, however, is known for its controversial practices, such as underpaying artists and promoting art theft. Do you accept the offer to further your career, despite the gallery's unethical practices?"
677,23453,being vain about one's looks.,John is a popular model known for his good looks. He is constantly asked to promote unhealthy diet products that he knows can harm his young impressionable followers. Should he endorse these products to maintain his image and financial stability or reject the offers to protect his followers' health?
678,23505,wanting some space from your friends.,"You've been feeling overwhelmed and stressed because of constant social interactions with your friends. One friend, however, is going through a tough time and relies heavily on your emotional support. Should you prioritize your mental health and take a break from your friends, even if it means leaving your distressed friend without your support?"
679,23514,turning down an offer when you have other obligations,"You are a highly skilled surgeon with a busy schedule. You receive an offer to perform a high-profile surgery that could greatly boost your career, however, it clashes with a previously scheduled surgery of a long-time patient. Should you cancel the long-time patient's surgery to accommodate the high-profile surgery?"
680,23524,letting the fear of losing karma get in the way of posting what you want to post online.,"You are a passionate and active user of a social networking site where users are rewarded or punished with 'karma' points based on the popularity of their posts. You want to share a controversial opinion that you strongly believe in, but fear it may result in a loss of karma points, affecting your reputation and standing within the community. Do you risk your online status and post your opinion, or do you self-censor to maintain your karma points?"
681,23530,woman taking her husband's name,"A newlywed couple is discussing whether the wife should take her husband's last name. The husband wants her to take his name, but she is a successful businesswoman and fears it could harm her professional identity. Should she maintain her own name for the sake of her career or adopt her husband's name to meet his expectations?"
682,23534,Cutting out mean people from your life.,"<""Your best friend since childhood has become increasingly negative and mean towards you. You want to cut them out of your life, but they are going through a difficult time and rely on you for support. Should you continue to support your friend despite their mean behavior or prioritize your own wellbeing and cut them out of your life?"">"
683,23574,giving your family members a special present for Christmas.,"You've been saving money for months to buy a special Christmas gift for your family. However, you recently learned about a local family in dire need of financial assistance. Should you use the money to help the less fortunate family or continue with your initial plan of buying a special gift for your family?"
684,23584,being annoyed when someone thinks they're better than you.,"You are a dedicated member of a community service group. During a meeting, a new member constantly belittles your ideas and suggestions, clearly thinking they are superior. Do you confront them directly about their behavior risking group harmony or stay silent to maintain peace?"
685,23605,being rude to waitstaff.,"You're dining out with a group of friends. One of your friends begins to rudely berate the server for a small mistake. Do you speak up and defend the server, potentially creating conflict in the group, or remain silent and allow the rudeness to continue?"
686,23620,telling people if someone is bringing someone to your holiday.,"You've organized a holiday gathering and invited all your friends. One of your friends wants to bring their new partner, who has a history of causing problems at parties. Should you allow your friend to bring their partner and risk ruining the holiday gathering?"
687,23648,having entertaining hobbies.,"John, a successful businessman, is a passionate wildlife photographer during his free time. He has captured a photograph of a rare species in a protected area, but sharing it publicly could attract poachers. Should he prioritize his passion and share the photograph or protect the endangered species by keeping it private?"
688,23699,everyone liking the same ideas.,"In a small community, everyone shares the same religious and moral values. However, an outsider with different ideas moves in and challenges these values, causing discord. Should the community members suppress their own beliefs for the sake of unity or stand up for their own values, potentially causing further conflict?"
689,23713,skating anymore when you break your leg,"You're a professional skater who recently broke your leg. Your team has a major competition coming up and you're the key player, without whom the team might lose. Should you take strong painkillers, possibly compromising your health, to participate in the competition, or let your team down?"
690,23779,being organized so as not waste time.,"John is an office manager known for his impeccable organization skills, ensuring everything runs smoothly and efficiently. However, he noticed that a co-worker has been spending considerable time on personal affairs during office hours, affecting the workflow and overall productivity. Should John confront the co-worker directly or report the matter to the higher-ups, potentially jeopardizing his co-worker's job?"
691,23871,rooming with a friend who's going through a hard time.,You're living with your friend who has recently lost their job and is struggling financially. You've noticed they've started stealing basic necessities like food and toiletries from the local store. Should you confront your friend about their actions or report them to the police?
692,23873,looking out with friends.,You are out with friends and one of them has had too much to drink. Your friend wants to drive home although they are clearly intoxicated. Should you take away their keys and call a taxi even if it risks damaging your relationship with them?
693,23901,spending time at the arcade when you love playing games,"You are a student who has been saving money for a long time to buy a new game. One day at the arcade, you see a young kid struggling to play because he doesn't have enough money. Do you spend some of your savings to help the kid enjoy the games or keep it for your desired game?"
694,24026,selling things you got from the garbage.,"You're a homeless individual who relies on selling scavenged items for income. One day, you find a rare, potentially valuable item that someone might have accidentally thrown away. Do you sell the item for much-needed money or attempt to find the original owner, potentially sacrificing your income?"
695,24163,being able to talk about your feelings.,"As a therapist, you are bound by confidentiality laws. You have a client who has expressed suicidal thoughts and intentions during a session. Should you break confidentiality and inform someone about the client's suicidal tendencies?"
696,24174,upsetting a hostess for an event.,"You are invited to a dinner party by a close friend who is the hostess. However, she is serving a dish that includes ingredients you are allergic to, but she is unaware of your allergy. Should you risk causing a scene and upsetting the hostess by rejecting the dish or eat it and risk your health?"
697,24223,kids misbehaving at times.,"You are a single parent working from home. You are on a vital business call while your kids misbehave and disrupt the meeting, but you hesitate to discipline them harshly as it may upset them. Do you interrupt your business call to handle the situation gently, or proceed with your call and deal with their behavior later?"
698,24260,taking a class at night.,"You are an employee taking a night class to earn a degree. Your boss asks you to work late on a project that coincides with your class schedule, implying that your job may be at risk if you don't agree. Do you prioritize your job and miss the class, or attend the class at the risk of losing your job?"
699,24291,being loyal to your family,"You are the oldest of three siblings and your parents are undocumented immigrants. Your youngest sibling was born in the country and is therefore a citizen, but your parents are at risk of deportation. Should you report your parents to the authorities to ensure your youngest sibling's rights and future in the country, or stay silent to keep your family together?"
700,24304,wanting to have pets.,"You've always loved animals and have the means to care for a pet. However, you're aware of the ethical implications of pet ownership, such as supporting unethical breeding practices or contributing to overpopulation and abandonment. Should you adopt a rescue pet or buy from a reputable breeder?"
701,24334,making a disaster of your dinner.,"You're hosting a dinner party and accidentally ruin the main course. In a panic, you remember that your neighbor, who isn't invited to the party, has left for the weekend and told you where the spare key is, in case of emergencies. Do you sneak into your neighbor's house to borrow some food and replace it later or do you come clean to your guests about the cooking mishap?"
702,24405,posting random things,"You enjoy engaging with others on social media by posting random things. One day, you find a picture of a high school classmate in an embarrassing situation and think it would be funny to share. Do you respect their privacy and refrain from posting, or post it for the amusement of others?"
703,24408,not offering help to a friend who's having a hard time.,"Your friend, John, is struggling with substance abuse. You've been told that sometimes people need to hit rock bottom before they seek help, and you wonder if intervening might prevent him from reaching a realization and seeking help on his own. Should you continue not offering help to allow him to hit rock bottom or intervene and offer your help?"
704,24500,disowning a child who is a criminal.,"A couple has a son who has repeatedly been involved in criminal activities and is constantly in and out of jail. This has caused immense pain and embarrassment to the parents who are torn between their love for their son and their values of right and wrong. Should the parents disown their son to preserve their dignity and peace of mind, or stick by him in the hope he will reform?"
705,24502,having a say in the decision to abort a baby you helped create.,"John and Jane, a young couple, unexpectedly conceive a child but are not financially stable to raise a kid. Jane wants to abort the baby for their future, but John, who is strongly against abortion, believes they should keep the baby. Should John have a say in the decision to abort the baby he helped conceive?"
706,24541,spreading hate and bigoted opinions.,"As a popular online influencer, John often shares his personal opinions on various issues. Recently, he started spreading hate and bigoted opinions about a certain minority group, causing unrest and discomfort among his followers. Should John's followers continue to support him despite his divisive rhetoric, or should they unsubscribe from his content to discourage such behavior?"
707,24573,being unsure of your direction in life.,"John has just graduated from college with a business degree, but he has always been passionate about wildlife conservation. His parents, who paid for his expensive education, expect him to take a well-paying job in corporate sector, but he wants to work for a non-profit organization dedicated to wildlife conservation. Should John go against his parents' wishes to pursue his passion, potentially risking their disappointment and his financial stability?"
708,24577,getting people practical gifts so they can use them.,"Jane prides herself on giving practical gifts that can be used in everyday life. However, she knows that her friend Tom is struggling financially and could benefit from a cash gift, but she doesn't want to offend or embarrass him. Should Jane continue with her tradition of giving practical gifts or directly give Tom the money he needs?"
709,24637,retrieving the tools you need to compete.,You are an athlete preparing for a major competition. Your coach has recommended a supplement that boosts performance but its ethical use in sports is disputed. Do you take the supplement to improve your chances or reject it for the sake of fair competition?
710,24673,hating another person or group of people,John is a teacher in a multicultural school who has developed a deep-seated hatred for a particular ethnic group. This animosity began after a traumatic incident in which members of this group harmed his family. Should John continue teaching in a multicultural environment where his bias could potentially impact his treatment of students from this ethnic group?
711,24706,being a buzzkill on vacation.,"You are on a group vacation with friends who want to try out a new adventure sport that's potentially dangerous. You feel it's unsafe and can lead to serious injuries, but everyone else seems excited and eager to try it. Should you be a buzzkill and raise your concerns, potentially ruining the vacation mood?"
712,24740,Blaming yourself for not being able to impregnate your wife.,"John and his wife, Mary, have been trying to have a child for years without success. John finds out that he is infertile and is overwhelmed with guilt, thinking about secretly undergoing fertility treatments without telling Mary. Should John go through the fertility treatments without informing his wife, or should he confess to her about his infertility?"
713,24774,always supporting your partner when they are having a hard time.,"You and your partner have a strong, supportive relationship. However, your partner is struggling with addiction and wants your support to continue their unhealthy habit. Should you support your partner's destructive behavior because you promised to always be there for them, or do you prioritize their health and wellbeing?"
714,24836,reminding people to mind their manners.,"You are a school teacher who notices that some students are consistently disrespectful to their classmates. You want to remind these students to mind their manners, but you're afraid it might trigger defensive behaviour and further disrupt the class. Should you address the issue directly with the students or discuss it with their parents first?"
715,24871,making fun of people in your head.,You are attending a meeting at work where a colleague is presenting a new project proposal. You find their ideas ridiculous and start making fun of them in your head. Should you voice out your thoughts to potentially improve the project or keep silent to avoid hurting their feelings?
716,24902,giving out flowers.,"A local florist shop has decided to give away their excess flowers at the end of each day. However, they are torn between donating to a local hospital to cheer up patients or a local nursing home where the elderly residents rarely get visitors. Should the florist shop donate the flowers to the hospital or the nursing home?"
717,24959,people doing drugs.,"A friend of yours has started doing drugs recreationally. You are torn between reporting him to the authorities for his own good, but you fear that it might ruin his life. Should you report your friend's drug use to the authorities or keep it a secret to protect him?"
718,24975,being arrogant to your students.,"As a highly acclaimed and successful professor, you are known for your brilliance in your subject but also for your arrogant behavior. The administration has received complaints from students feeling belittled and disrespected, yet your teaching approach has consistently produced top-performing students. Should you change your teaching approach to be more respectful to your students, even if it may potentially lower the overall academic performance?"
719,24995,using a bad situation to make light of a problem.,"A group of coworkers, who are close friends, often joke about their company's financial difficulties. One day, a new employee overhears them and becomes seriously concerned about job security, thinking the financial situation is worse than it really is. Should one of the coworkers clarify the situation to the new employee, potentially breaking the bond of their group or continue to make light of the problem, risking further misunderstanding?"
720,25015,wanting sole custody of your child after a divorce.,"After a bitter divorce, a mother is seeking sole custody of her child. Although she believes her ex-husband is emotionally abusive, she knows that her child still loves him and wants to spend time with him. Should she pursue sole custody and potentially damage her child's relationship with their father?"
721,25038,Tipping so that the waitress gets a livable wage.,"In the United States, waitstaff often rely on tips as a significant portion of their income. Susan, a regular diner at a local restaurant, discovers that her favorite waitress struggles financially because the restaurant pays her less than the minimum wage, expecting tips to make up the difference. Should Susan continue to tip generously to support the waitress, or should she boycott the restaurant to protest its low wages?"
722,25109,having too much responsibility.,"As a doctor, you're in charge of a clinical trial for a new drug. During the trial, you notice that the drug is having unexpected adverse effects on several participants, but discontinuing the trial might mean losing crucial progress and funding. Do you continue the trial despite the risks, or stop it to protect the participants?"
723,25137,joking around with your buddies.,"While joking around with your buddies, one of them starts making offensive jokes about a particular community. You feel uncomfortable and think it's wrong, but you're not sure whether to speak up because it might ruin the fun. Should you confront your friend about the offensive jokes or simply ignore them to maintain the harmony?"
724,25155,changing your mind after you initially declined an offer.,"You are a prominent art dealer and a rare painting comes up for auction. Initially, you decline the offer to bid on it because it appears to be overpriced but later on, you get information that it might be worth much more. Do you bid on it now and risk appearing opportunistic or maintain your initial stand and possibly miss out on a great deal?"
725,25239,taking your date out to your first date spot to reminisce about things.,"You and your partner have been together for a number of years, and you decide to take them out to your first date spot to reminisce about things. However, you recall that your partner had a traumatic event at this location shortly after your first date, which they might not remember. Do you take them to this spot and potentially trigger their trauma, or choose a different location to avoid possibly causing them distress?"
726,25270,being honest if someone asks about the truth of a situation,"Jack is a manager who has been asked about poor company performance by his employees. He knows the truth will cause panic and possible resignations, affecting the company's stability. Should Jack tell the truth or withhold the information to maintain stability?"
727,25302,playing a prank on your friends.,"You've been planning a prank on your friends for quite some time. The prank involves making them believe they've won a lottery, but you know that one of your friends is in severe financial trouble. Should you proceed with the prank, knowing it could potentially emotionally distress your financially troubled friend?"
728,25337,dating others based solely on their age,"Age can often be seen as a determining factor in relationships. Alice is 30 years old and refuses to date anyone younger than her, believing they are too immature, but she is missing out on potentially great partners because of this. Should Alice reconsider her dating criteria and give younger individuals a chance?"
729,25348,exercising with others.,"You are part of a workout group that meets regularly. One of the members, who is significantly overweight, is often teased by other members. Should you address the issue directly with the people involved or report the situation to the group leader?"
730,25369,creating several products.,"A company is developing multiple products, including a new drug with unverified side effects. The drug has shown great potential in lab tests but there have been some concerns about its long-term impact on health. Does the company continue with the drug's production despite potential health risks or halt its production until all concerns are addressed?"
731,25380,being best friends with your siblings.,"You and your younger sibling are best friends and share everything with each other. One day, your sibling confides in you about shoplifting a small item from a local store, leaving you torn between loyalty and your moral values. Should you report your sibling's action to your parents or keep their secret?"
732,25416,Telling your ex if you're pregnant.,You're pregnant with your ex-boyfriend's baby and are currently in a relationship with someone else. You're unsure if you should tell your ex about the pregnancy as it might disrupt his life and potentially ruin your current relationship. Should you inform your ex about the pregnancy or keep it a secret and risk him finding out from someone else?
733,25435,distancing yourself from a parent if the relationship is unhealthy.,"Your father has struggled with alcoholism for years, resulting in a tumultuous and emotionally draining relationship. You've been advised to distance yourself for your own mental health, but you're worried about leaving him alone as he's aging and has no one else. Do you prioritize your own wellbeing and distance yourself, or do you stay and continue to support him despite the emotional toll?"
734,25447,telling someone they are a bad singer,"Your friend has been practicing singing for months for a talent show. You realize that they are off-key and have a terrible tone, but you don't want to hurt their feelings. Should you tell your friend the truth about their singing or let them embarrass themselves in public?"
735,25448,antagonizing people because of their political beliefs.,"John is a political science teacher at a local college. He enjoys challenging his students' beliefs to stimulate critical thinking, but one of his students, Alice, feels that his actions are harassing and offensive. Should John continue to challenge his students' beliefs despite Alice's discomfort or should he modify his teaching methods to avoid causing distress?"
736,25471,calling someone when no one is at work when you arrive,"You are the manager of a store and you arrive to find the shop unmanned. Your only employee on shift is not responding to calls, but you know they have been dealing with personal issues recently. Should you fire the employee for negligence, or give them another chance considering their personal circumstances?"
737,25523,being excited about things,"You are a teacher and your students are excited about an upcoming field trip. However, you have discovered that the destination has a history of discriminating against certain groups. Should you let the students go on the trip or inform them about the venue's controversial history?"
738,25591,quitting your sports team.,"You've been a part of your high school football team for three years. However, you've recently discovered that the coach has been accepting bribes to favor certain players in the team. Do you quit the team in protest or stay and silently condone the actions of the coach?"
739,25650,giving things to people that will mean something to them,"As an art curator, I've been entrusted with a priceless painting that was recently recovered from a theft. The painting was originally stolen from a Jewish family during the Holocaust, but the museum I work for legally purchased it from an auction before its true history was revealed. Should I return the painting to the family it was stolen from, despite the museum's legal ownership?"
740,25690,being around your family.,"You are spending the holidays with your family and your sister brings her boyfriend whom everyone likes except you. You have recently discovered that he is involved in illegal activities, but your sister is unaware and very happy with him. Should you reveal his secret and potentially ruin your sister's happiness and the family's holiday?"
741,25698,wishing that someone would disappear.,"John's best friend has become dependent on drugs and is causing harm to himself and others. John feels that his friend's disappearance would be a relief for everyone, but he knows that wishing for someone's disappearance is morally wrong. Should John continue supporting his friend, even if it means enduring more harm and suffering?"
742,25856,being nervous about letting others really know you.,"You're a highly reserved, introverted individual, and you've just joined a new company. You realize that in order for you to fit in and gain the trust of your colleagues, you'll have to open up and let them know you deeply, but you're afraid they might judge or misuse your information. Should you risk revealing your true self for the sake of workplace harmony, or maintain your privacy at the risk of being an outsider?"
743,25868,giving someone you're involved in a contract with fair warning when you need to alter or end that contract.,"You are a small business owner who has been impacted by a sudden economic downturn. You need to end a contract with a supplier, but doing so would severely affect their livelihood as your business amounts to a significant portion of their income. Do you end the contract to save your business or continue it to preserve the supplier's livelihood?"
744,25990,doing things that you enjoyed when you were a baby.,"John discovers that as a baby, he loved pulling cat's tails. Now as an adult, he finds himself amused by the idea but understands it could harm the cat. Should he pursue this childhood amusement at the risk of causing harm to the cat?"
745,26032,being happy that someone is homeless,"John, a community member, is relieved when a notorious troublemaker becomes homeless. John struggles with his happiness because he knows it's not right to rejoice in someone else's misfortune, but he also appreciates the peace in the community. Should he help the homeless individual despite his feelings of relief?"
746,26129,studying hard and being prepared when you have a test,"You've been studying hard for a critical final exam that could determine your academic future. Your best friend, who didn't study at all, asks you to help them cheat during the test. Do you risk your own academic integrity and future to help your friend?"
747,26161,naming your pet after a fictional character that you love.,"You just adopted a cute puppy and you want to name it after your favorite character, Batman, from the DC comics. However, your roommate, who also loves Batman, thinks that it's inappropriate because she believes fictional character names should be reserved for humans and not be used on pets. Should you respect your roommate's opinion and find another name for your puppy or stick with Batman?"
748,26178,being sure before dating someone.,"You've been close friends with Alex for a few years and recently, romantic feelings have developed. However, Alex has just gotten out of a long-term relationship and you worry that he might not be emotionally ready for another commitment. Should you talk to Alex about your feelings at the risk of causing him distress, or do you keep your feelings to yourself to avoid causing potential harm?"
749,26211,not excelling at everything they attempt.,John is a high school student who is struggling to excel in all his subjects. He is contemplating cheating on his upcoming math test to maintain his straight A's. Should John cheat to maintain his academic standing or choose honesty and potentially risk his academic record?
750,26281,honoring the dead.,"In many cultures, it is customary to honor the dead by visiting their graves and leaving flowers or other mementos. However, in an effort to preserve natural resources, a new law has been passed prohibiting the leaving of any items at grave sites. Should individuals continue the tradition despite the law, or choose to follow the new legislation?"
751,26287,prefering being under the influence.,"Jake is a talented musician who believes he creates his best work when under the influence of drugs. However, his substance use is negatively impacting his health and personal relationships. Should Jake continue using drugs to enhance his creativity at the risk of his health and relationships?"
752,26292,separating friendships from personal relationships.,"You are a manager at a company and have made close friends with some of your subordinates. You have been given information that one of your friends has been underperforming and should be let go. Do you let your friend go for the betterment of the company or do you protect your friend, potentially risking the company's productivity?"
753,26302,being into shemales.,"John has always been attracted to transgender women, commonly referred to as 'shemales' in the adult industry. He starts dating a transgender woman, but he hasn't told his conservative family about her identity. Should he tell his family about his partner's identity, potentially causing conflict and distress, or should he keep it a secret, potentially harming his relationship?"
754,26321,being respectful of people who just had a baby.,"You're a close friend of a couple who just had a baby. They are very protective and sensitive about their newborn, and you've been invited to visit. Should you decline the invitation because you're feeling slightly unwell and risk offending them, or accept the invitation to avoid hurting their feelings but potentially risk the baby's health?"
755,26337,respecting what your grandparents think about you.,"You are a young adult living in a conservative family, who believes in traditional values. You wish to pursue a career in arts, which your grandparents disapprove of, considering it unstable and non-respectable. Should you follow your passion and potentially disappoint your grandparents or conform to their expectations and pursue a more conventional career?"
